Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,
2017,1,1,0,30,0,0,0,0,0,0,0.2,1.327,211.5,97.56,0,990,N/A
2017,1,1,1,30,0,0,0,0,0,0,0.2,1.275,214.8,97.45,0,990,N/A
2017,1,1,2,30,0,0,0,0,0,0,0.2,1.2,219.1,97.42,0,990,N/A
2017,1,1,3,30,0,0,0,0,0,0,0.2,1.075,224.4,97.33,0,990,N/A
2017,1,1,4,30,0,0,0,0,0,0,0.2,0.902,235.9,97.38,0,990,N/A
2017,1,1,5,30,0,0,0,0,0,0,0.2,0.73,253,96.34,0,990,N/A
2017,1,1,6,30,0,0,0,0,0,0,0.2,0.607,270.8,94.12,0,990,N/A
2017,1,1,7,30,0,0,0,0,0,0,0.2,0.55,280.3,90.4,0,1000,N/A
2017,1,1,8,30,51,548,142,51,548,142,0.2,0.557,276,89.96,0,1000,N/A
2017,1,1,9,30,77,713,282,77,713,282,0.3,0.586,273.3,90.1,0,1000,N/A
2017,1,1,10,30,89,798,387,89,798,387,0.3,0.594,276.6,90.33,1,1000,N/A
2017,1,1,11,30,165,310,293,94,834,440,0.3,0.582,281.1,90.49,1,1000,N/A
2017,1,1,12,30,92,838,435,92,838,435,0.3,0.558,286.7,83.52,2,1000,N/A
2017,1,1,13,30,81,815,374,81,815,374,0.2,0.532,291.3,88.67,1,1000,N/A
2017,1,1,14,30,65,738,261,65,738,261,0.2,0.511,292.8,87.92,0,1000,N/A
2017,1,1,15,30,41,548,116,41,548,116,0.1,0.495,293.5,91.26,-1,1000,N/A
2017,1,1,16,30,0,0,0,0,0,0,0.2,0.484,295.6,88.88,-2,1010,N/A
2017,1,1,17,30,0,0,0,0,0,0,0.5,0.476,295.3,87.08,-3,1010,N/A
2017,1,1,18,30,0,0,0,0,0,0,0.6,0.475,293.1,89.86,-4,1010,N/A
2017,1,1,19,30,0,0,0,0,0,0,0.6,0.48,297.6,88.47,-4,1010,N/A
2017,1,1,20,30,0,0,0,0,0,0,0.7,0.489,307.3,88.14,-4,1010,N/A
2017,1,1,21,30,0,0,0,0,0,0,0.8,0.501,314.8,88.03,-4,1010,N/A
2017,1,1,22,30,0,0,0,0,0,0,0.9,0.516,313.4,88.5,-4,1010,N/A
2017,1,1,23,30,0,0,0,0,0,0,0.9,0.534,297.9,82.74,-3,1010,N/A
2017,1,2,0,30,0,0,0,0,0,0,0.8,0.55,279.1,83.2,-3,1010,N/A
2017,1,2,1,30,0,0,0,0,0,0,0.6,0.564,265.9,83.93,-3,1010,N/A
2017,1,2,2,30,0,0,0,0,0,0,0.7,0.583,248,84,-3,1010,N/A
2017,1,2,3,30,0,0,0,0,0,0,0.8,0.618,241.2,89.69,-4,1010,N/A
2017,1,2,4,30,0,0,0,0,0,0,0.6,0.664,253.3,83.16,-3,1010,N/A
2017,1,2,5,30,0,0,0,0,0,0,0.4,0.703,282.7,83.54,-3,1010,N/A
2017,1,2,6,30,0,0,0,0,0,0,0.4,0.715,342.9,89.66,-4,1010,N/A
2017,1,2,7,30,0,0,0,0,0,0,0.4,0.706,21.1,82.58,-3,1010,N/A
2017,1,2,8,30,54,401,121,47,578,143,0.2,0.708,51.8,79.81,-2,1010,N/A
2017,1,2,9,30,79,557,239,68,743,283,0.1,0.759,64.2,79.78,0,1010,N/A
2017,1,2,10,30,85,649,327,80,812,384,0.1,0.889,96.5,82.59,1,1010,N/A
2017,1,2,11,30,180,150,242,85,833,431,0.1,1.092,131.1,78.26,2,1010,N/A
2017,1,2,12,30,173,222,265,84,822,422,0.1,1.303,130.4,79.51,2,1010,N/A
2017,1,2,13,30,148,269,245,77,779,358,0.1,1.458,125.8,87.58,1,1010,N/A
2017,1,2,14,30,106,237,169,64,685,248,0.1,1.538,116,91.48,0,1010,N/A
2017,1,2,15,30,52,160,74,41,483,108,0.1,1.541,99.8,92.85,0,1010,N/A
2017,1,2,16,30,0,0,0,0,0,0,0.1,1.51,89.1,90.18,0,1010,N/A
2017,1,2,17,30,0,0,0,0,0,0,0.2,1.49,86.4,93.08,-1,1010,N/A
2017,1,2,18,30,0,0,0,0,0,0,0.1,1.488,89.7,92.7,-1,1010,N/A
2017,1,2,19,30,0,0,0,0,0,0,0.1,1.504,92.7,94.5,-1,1010,N/A
2017,1,2,20,30,0,0,0,0,0,0,0.1,1.532,100.5,91.42,0,1010,N/A
2017,1,2,21,30,0,0,0,0,0,0,0.1,1.555,104.3,95.18,0,1010,N/A
2017,1,2,22,30,0,0,0,0,0,0,0.1,1.588,103.1,99.18,0,1010,N/A
2017,1,2,23,30,0,0,0,0,0,0,0.1,1.631,87.8,94.59,0,1010,N/A
2017,1,3,0,30,0,0,0,0,0,0,0.1,1.676,80,97.95,0,1010,N/A
2017,1,3,1,30,0,0,0,0,0,0,0.1,1.733,84.9,99.91,0,1010,N/A
2017,1,3,2,30,0,0,0,0,0,0,0.2,1.811,84.3,100,0,1000,N/A
2017,1,3,3,30,0,0,0,0,0,0,0.2,1.898,81.7,100,0,1000,N/A
2017,1,3,4,30,0,0,0,0,0,0,0.2,1.968,74.9,100,0,1000,N/A
2017,1,3,5,30,0,0,0,0,0,0,0.2,2.024,77.7,100,1,1000,N/A
2017,1,3,6,30,0,0,0,0,0,0,0.2,2.073,78.2,100,1,1000,N/A
2017,1,3,7,30,0,0,0,0,0,0,0.2,2.117,75.3,100,1,1000,N/A
2017,1,3,8,30,13,0,13,57,380,120,0.2,2.169,84,100,1,1000,N/A
2017,1,3,9,30,27,0,27,77,590,248,0.3,2.235,87.5,100,1,1000,N/A
2017,1,3,10,30,53,0,53,91,667,341,0.3,2.297,84.2,100,1,1000,N/A
2017,1,3,11,30,58,0,58,93,712,391,0.3,2.33,79.9,100,1,1000,N/A
2017,1,3,12,30,56,0,56,85,738,390,0.3,2.357,76.5,100,1,990,N/A
2017,1,3,13,30,52,0,52,79,699,332,0.3,2.418,73.1,100,1,990,N/A
2017,1,3,14,30,36,0,36,65,610,231,0.3,2.486,68.2,100,1,990,N/A
2017,1,3,15,30,16,0,16,41,435,103,0.3,2.527,65.2,100,1,990,N/A
2017,1,3,16,30,0,0,0,0,0,0,0.3,2.541,62.7,100,1,990,N/A
2017,1,3,17,30,0,0,0,0,0,0,0.3,2.526,63,100,1,990,N/A
2017,1,3,18,30,0,0,0,0,0,0,0.3,2.49,62.5,100,1,980,N/A
2017,1,3,19,30,0,0,0,0,0,0,0.3,2.409,58.8,100,1,980,N/A
2017,1,3,20,30,0,0,0,0,0,0,0.2,2.263,56,100,1,980,N/A
2017,1,3,21,30,0,0,0,0,0,0,0.2,2.114,54,100,1,980,N/A
2017,1,3,22,30,0,0,0,0,0,0,0.2,2.082,52.9,100,1,980,N/A
2017,1,3,23,30,0,0,0,0,0,0,0.1,2.216,42.3,100,1,980,N/A
2017,1,4,0,30,0,0,0,0,0,0,0.1,2.324,23.3,100,1,980,N/A
2017,1,4,1,30,0,0,0,0,0,0,0.1,2.261,351,100,1,980,N/A
2017,1,4,2,30,0,0,0,0,0,0,0.1,2.093,323.3,100,0,980,N/A
2017,1,4,3,30,0,0,0,0,0,0,0.1,1.882,312.4,100,0,970,N/A
2017,1,4,4,30,0,0,0,0,0,0,0.1,1.753,287.3,98.27,0,970,N/A
2017,1,4,5,30,0,0,0,0,0,0,0.1,1.769,259.3,96.65,0,980,N/A
2017,1,4,6,30,0,0,0,0,0,0,0.1,1.762,247.1,97.45,0,980,N/A
2017,1,4,7,30,0,0,0,0,0,0,0.2,1.678,240,100,0,980,N/A
2017,1,4,8,30,58,384,122,58,384,122,0.2,1.596,241.1,100,1,980,N/A
2017,1,4,9,30,122,168,170,78,601,253,0.2,1.51,242.2,100,2,980,N/A
2017,1,4,10,30,158,196,232,76,756,360,0.2,1.447,249.7,100,3,980,N/A
2017,1,4,11,30,110,0,110,84,776,409,0.2,1.401,258,99.24,4,980,N/A
2017,1,4,12,30,164,31,177,87,767,405,0.3,1.296,259.6,100,4,980,N/A
