Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units
NSRDB,970013,-,-,-,33.73,-84.38,0,300,-5,w/m2
Year,Month,Day,Hour,Minute,DNI,Wind Speed,Precipitable Water,Relative Humidity,Temperature,Pressure
2019,1,1,0,30,0,2.4,3.1,98.19,17.6,982
2019,1,1,1,30,0,2.2,3.3,97.75,17.1,982
2019,1,1,2,30,0,2.2,3.6,97.37,17,982
2019,1,1,3,30,0,2,3.8,98.56,17.1,981
2019,1,1,4,30,0,1.4,4,100,17.1,981
2019,1,1,5,30,0,0.8,4,100,16.7,982
2019,1,1,6,30,0,0.7,3.8,100,16.1,983
2019,1,1,7,30,0,0.9,3.7,100,15.3,983
2019,1,1,8,30,0,1.1,3.5,100,14.6,983
2019,1,1,9,30,0,1,3.4,100,13.8,984
2019,1,1,10,30,0,0.7,3.3,99.23,13.3,984
2019,1,1,11,30,0,0.5,3.2,95.9,13.1,984
2019,1,1,12,30,0,0.3,3.1,88.66,13.6,985
2019,1,1,13,30,0,0.3,3.1,82.13,15,985
2019,1,1,14,30,4,0.6,3.2,81.34,16.6,986
2019,1,1,15,30,2,0.9,3.3,75.44,17.6,986
2019,1,1,16,30,22,1.1,3.4,72.86,18.2,985
2019,1,1,17,30,5,1,3.5,74.13,18.3,985
2019,1,1,18,30,34,1,3.6,76.94,18,984
2019,1,1,19,30,103,0.9,3.6,80.6,17.5,984
2019,1,1,20,30,156,0.7,3.5,85.52,16.8,985
2019,1,1,21,30,73,0.6,3.4,95.05,15.7,985
2019,1,1,22,30,20,0.5,3.3,99.18,14.7,985
2019,1,1,23,30,0,0.6,3.3,98.04,14.3,986
2019,1,2,0,30,0,0.6,3,100,13.5,986
2019,1,2,1,30,0,0.6,2.8,100,12.8,986
2019,1,2,2,30,0,0.6,2.7,100,12.1,986
2019,1,2,3,30,0,0.5,2.6,100,11.5,986
2019,1,2,4,30,0,0.5,2.5,100,10.8,986
2019,1,2,5,30,0,0.5,2.5,100,10.3,986
2019,1,2,6,30,0,0.5,2.5,100,9.9,986
2019,1,2,7,30,0,0.5,2.5,100,9.4,986
2019,1,2,8,30,0,0.5,2.4,100,9.1,986
2019,1,2,9,30,0,0.5,2.4,100,8.7,986
2019,1,2,10,30,0,0.6,2.4,100,8.4,986
2019,1,2,11,30,0,0.6,2.4,100,8.2,987
2019,1,2,12,30,0,0.6,2.4,93.55,8.9,987
2019,1,2,13,30,0,0.6,2.6,90.64,10.6,987
2019,1,2,14,30,18,0.5,2.9,84.93,12.7,988
2019,1,2,15,30,0,0.5,3.1,80.7,15,988
2019,1,2,16,30,36,0.7,3.3,77.87,16.5,987
