(kW),12:00 AM,1:00 AM,2:00 AM,3:00 AM,4:00 AM,5:00 AM,6:00 AM,7:00 AM,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM,7:00 PM,8:00 PM,9:00 PM,10:00 PM,11:00 PM
1/1/2019,135.8587,138.875,131.6076,130.5356,129.7048,149.6876,145.6517,145.3248,135.9026,147.3391,145.2454,141.883,143.7841,139.9574,147.9641,,,,,,,,,
1/2/2019,147.684,147.3152,139.8871,144.4308,147.7103,147.7041,146.118,146.7463,150.0096,146.8994,140.3762,125.8695,124.1597,123.7539,127.2034,130.1986,129.219,132.7555,135.0351,137.1915,140.7905,138.8056,138.1185,141.4177
1/3/2019,135.9366,140.6108,135.5044,144.1717,141.4563,132.7757,142.02,140.4377,141.0281,128.116,133.4759,133.8466,130.3259,135.9207,140.429,141.8718,140.2612,145.101,133.4854,147.4905,143.7333,139.17,147.2527,142.8646
1/4/2019,139.1463,144.3695,140.1183,131.5056,138.6954,131.7272,139.8628,131.5018,138.3852,131.7856,127.2753,123.0017,132.8009,133.0599,138.0952,142.3846,145.0982,140.4319,147.6294,147.8012,149.7109,147.7333,147.334,145.0374
1/5/2019,148.4714,146.659,142.6853,134.4186,140.3988,138.2152,139.4486,140.3793,135.2966,137.3416,128.5489,124.8519,136.3861,124.5581,141.6209,142.6297,132.8027,138.2064,141.6723,131.2214,143.263,144.6282,144.1852,143.3765
1/6/2019,142.7144,143.3406,143.8526,146.9214,142.7451,139.3079,141.8311,140.4414,141.0852,138.1026,132.8197,131.5391,137.7329,124.7027,137.4944,136.3674,137.3468,140.6699,136.2434,138.4041,140.0195,136.6079,144.1143,135.9508
1/7/2019,135.0443,140.6893,135.3336,148.112,146.2787,144.5721,145.1128,146.453,143.4313,136.3973,123.668,121.0158,120.4405,120.5173,133.3747,144.4316,145.0663,148.3796,145.7992,153.3311,137.737,145.4448,154.7891,148.6855
1/8/2019,145.6276,145.3032,144.672,142.2014,140.4659,141.6799,143.2504,144.1406,149.4187,132.8804,137.2461,151.2801,134.896,134.9921,138.1433,149.0307,152.081,151.9621,144.0877,148.3023,143.9366,137.0906,139.7951,143.2734
1/9/2019,139.0464,144.2711,136.8086,135.9451,136.9868,135.7702,139.7238,145.1027,143.7076,134.6555,128.2112,130.1136,132.215,129.4492,140.3681,137.7867,147.2694,152.6953,155.2031,156.1571,157.4503,161.2326,155.0797,154.4482
1/10/2019,156.2359,156.2359,156.2359,156.2359,156.2359,156.2359,156.2359,156.2359,156.2359,156.2359,156.2359,156.2359,156.2359,156.2359,156.2359,156.2359,156.2359,156.2359,156.2359,156.2359,156.2359,156.2359,156.2359,156.2359
1/11/2019,160.7286,166.746,157.7759,153.9693,155.176,142.4724,169.1861,157.1111,160.2324,148.519,148.4595,136.9943,139.0257,137.07,150.7315,153.5598,155.84,157.2627,161.7051,159.0712,159.4847,161.0727,157.7525,160.1555
1/12/2019,163.1174,165.3114,164.5311,161.563,157.6374,152.3372,158.7016,154.2481,152.755,164.6472,124.1603,141.1526,141.5026,148.9697,148.0451,150.6396,149.4885,148.5598,145.6698,148.1449,150.7504,150.4467,147.6088,153.2961
1/13/2019,159.9906,155.7487,143.8477,164.2193,148.2375,155.6717,155.4877,148.5619,146.7847,150.5851,139.7382,152.3423,148.6927,143.1441,155.8584,157.9782,152.8166,155.602,139.8513,140.283,140.2424,140.4044,142.0172,140.5201
1/14/2019,140.8321,141.0868,139.8811,153.5803,140.5594,157.2297,147.6671,159.1419,145.5637,140.244,124.5381,134.8123,140.5856,121.7393,147.1209,149.2339,148.0516,146.1235,148.2608,154.7641,154.7743,144.8759,154.1509,145.7963
1/15/2019,146.561,145.917,144.5281,141.2411,149.3785,148.4657,145.2258,144.0147,158.7257,152.4041,154.2,150.5889,136.8059,144.9318,136.531,156.5572,160.4114,164.705,167.513,168.2401,161.2697,147.6704,145.123,156.5597
1/16/2019,149.7076,144.9106,137.4008,135.1419,143.5123,140.0709,143.5127,145.8135,151.1989,143.7268,140.8468,133.4727,136.0091,147.4517,154.7364,157.7714,160.1166,164.8416,153.0793,154.1192,150.0916,162.9977,147.0896,154.5162
1/17/2019,152.4328,158.6908,145.6977,144.9117,143.8013,140.9101,140.9318,141.9162,140.31,141.0877,132.1952,147.5209,135.4653,136.5958,138.9984,142.1497,146.9548,152.1569,149.4101,149.7411,150.5469,163.5411,154.896,154.8625
1/18/2019,161.5339,148.6617,144.4238,145.0004,152.0922,148.5778,147.5164,150.2174,147.7913,144.611,129.1299,139.8315,142.9583,131.8798,136.9816,148.6145,150.5293,139.4515,147.2418,150.3702,143.6398,153.915,144.732,142.9138
1/19/2019,146.7462,141.1869,137.7786,134.2875,134.9838,130.8768,137.3104,142.7506,140.3166,140.9418,140.1838,137.3054,139.9315,139.0422,128.0993,140.375,131.0089,127.8388,129.4711,129.6881,136.3617,140.4765,135.5964,138.7833
1/20/2019,144.8372,138.1673,136.0591,143.3701,136.5382,139.7029,144.4661,144.8316,142.9245,134.2698,132.3811,134.2743,134.1017,123.1262,139.5896,141.7005,146.6574,149.66,137.2633,143.1857,134.1057,143.2811,142.4066,144.3676
1/21/2019,143.1551,145.9585,144.6936,144.8849,146.2898,157.5958,156.7778,156.5164,157.6052,156.228,144.5935,143.2243,141.8863,139.7519,157.0854,158.8627,154.3168,157.5678,146.7019,152.136,157.8961,156.2869,155.26,156.5789
1/22/2019,147.8093,146.6553,146.1896,147.7789,149.3382,150.2444,148.9729,153.1791,155.7968,146.7672,141.8856,140.4103,141.5271,140.9404,157.458,158.275,157.4985,163.3583,163.2284,164.5121,174.3579,169.2751,159.8116,162.5312
1/23/2019,166.7995,155.985,143.9928,145.4818,151.4127,143.1655,146.8944,146.3395,151.6833,137.8069,139.9187,131.1429,133.061,140.2264,155.4442,142.9254,157.1949,155.8504,145.4634,149.8,148.6809,157.6298,152.218,155.9724
1/24/2019,153.6242,150.7747,147.5629,131.7684,140.9104,144.1668,133.4524,136.0632,134.575,129.5614,123.6091,123.5812,120.264,130.8067,128.2135,131.6574,135.2458,141.5874,140.9454,145.9649,142.8885,138.6387,141.5011,146.3036
1/25/2019,149.8141,143.808,143.9218,140.3537,140.2642,141.4635,142.626,141.6176,146.6531,136.5086,123.9316,119.0637,138.727,136.1772,141.2157,145.4062,144.1095,158.7009,157.2221,160.1793,153.222,159.7542,148.3909,157.7357
1/26/2019,155.0995,151.8556,151.0329,149.7907,140.06,150.8839,153.4764,144.8908,152.4647,138.9952,138.3052,130.551,135.7811,125.2285,147.2218,145.0111,149.7301,145.1774,144.2556,148.5979,146.0112,142.3528,140.6671,138.213
1/27/2019,134.9384,147.922,141.9199,151.4167,150.2884,154.6932,151.5679,155.3659,156.9037,148.5123,140.6251,141.2025,141.1509,139.6921,143.3679,144.6428,142.1211,148.4688,145.5317,144.7828,139.3139,141.6924,139.9988,139.5453
1/28/2019,140.0762,139.2887,139.3819,142.827,143.502,138.5289,139.2521,148.8108,144.5513,149.8504,143.2493,150.6425,142.3927,145.6423,149.4222,145.6595,156.2618,151.2319,148.6018,154.1255,146.1795,153.9673,160.3751,150.0543
1/29/2019,147.1155,148.0073,146.7512,139.588,145.3307,138.755,141.5065,145.4031,143.6005,135.2423,128.645,132.0513,134.3839,128.1304,134.2601,131.7476,135.9634,134.0532,139.6804,136.6338,139.4303,141.0238,137.9355,140.1061
1/30/2019,152.9405,141.4808,140.489,144.0198,160.8586,151.9549,143.8917,152.093,152.426,141.6348,135.0673,135.3203,137.3968,137.7308,151.2552,144.7117,148.7746,155.6951,162.2387,158.7144,158.1971,157.171,144.9851,150.7727
1/31/2019,151.8432,149.2913,149.629,145.4496,152.7667,148.4827,149.3903,151.6448,153.5527,141.0828,138.7457,136.6664,137.8018,138.3192,141.2427,147.1982,154.7526,158.1856,152.6459,162.6687,150.9521,161.7112,155.4902,156.397
2/1/2019,157.8006,150.744,153.695,146.8347,133.4442,143.3746,144.1891,148.0299,145.4282,129.8199,129.8118,130.0608,129.6614,124.5561,142.7702,146.7751,145.2822,155.1642,149.4887,154.1445,148.7283,162.5568,159.4851,158.5352
2/2/2019,152.9556,154.5354,151.7485,153.9326,143.8111,144.1109,148.9478,144.5358,134.5159,144.2999,128.4541,135.3304,132.386,133.6589,137.2669,137.6134,148.2646,145.9142,141.3069,141.2058,146.2782,145.1945,149.5111,148.6648
2/3/2019,146.6147,143.5778,143.1912,141.2853,131.0616,134.5704,141.5154,142.9354,145.0435,142.4055,135.9356,124.3725,127.6128,123.2857,129.3389,130.3056,130.1404,128.761,125.9803,129.7647,128.7539,128.781,129.3666,130.1844
2/4/2019,124.7039,135.9501,130.7608,145.4222,135.2689,133.9255,145.1018,143.1209,140.5473,133.8596,126.3749,128.2928,126.255,126.6342,132.0163,139.621,135.9503,141.0245,140.8017,141.2395,139.7899,139.0611,136.0556,135.1917
2/5/2019,135.8564,137.8575,138.8057,145.1819,141.2787,140.2286,141.5706,139.8778,145.7138,139.2383,131.2141,132.7797,129.3528,133.6597,139.2505,136.1456,143.5951,146.9153,147.2643,150.0124,149.3264,141.6053,150.0329,148.2734
2/6/2019,144.5693,142.1281,148.09,142.2103,139.0151,138.7401,139.5753,138.3726,139.8148,132.9532,142.4636,132.8295,133.9978,134.6362,138.8545,140.2773,142.5354,146.4102,149.1166,147.095,151.5058,141.7034,149.6595,143.1913
2/7/2019,150.6763,142.4558,138.7473,136.2528,137.2762,140.9151,141.9917,136.2847,142.6863,135.6133,145.5536,144.2179,137.1039,136.1405,139.7843,143.5299,142.1576,149.9452,149.1593,150.3845,153.0559,149.4676,150.8578,148.2269
2/8/2019,149.8954,153.115,144.0549,144.8056,145.2207,136.6737,146.0439,142.6958,141.5157,134.2002,126.313,123.9897,124.1711,135.6856,136.9508,139.1071,141.6035,140.7505,142.6486,150.2543,144.6499,152.8075,146.3408,149.8401
2/9/2019,148.6384,157.0824,144.4535,148.5409,145.3511,144.0288,148.0933,146.2744,141.5793,144.3209,135.4393,125.3932,127.426,135.2234,139.0125,153.7893,149.2217,150.1875,140.5822,153.8327,141.5689,138.3006,159.1824,143.0169
2/10/2019,153.2761,146.1789,146.5051,145.6212,145.6149,148.0299,148.7828,146.3338,147.9672,145.9691,130.9038,136.1466,135.4638,124.426,147.7582,142.0392,145.3842,143.364,144.1803,138.432,146.8212,139.0748,140.1828,139.5171
2/11/2019,139.3477,140.6236,137.2989,140.567,141.3813,142.6703,138.3099,134.7382,133.4882,135.2127,132.9184,132.8329,122.2991,132.1758,138.7536,133.02,145.5044,141.1151,148.0242,142.9462,136.749,143.4693,147.2916,144.0476
2/12/2019,146.9056,145.721,146.2508,132.5373,134.5688,132.6916,129.8058,140.0945,135.6342,132.5481,130.4605,121.4487,121.8025,123.7336,133.4102,141.3409,144.0899,148.1348,149.08,150.2742,147.2862,148.2782,147.9414,148.3071
2/13/2019,146.5705,146.4746,146.0193,139.618,150.9861,140.6429,140.5219,143.1397,141.2585,141.3464,125.9047,135.9459,135.1559,134.2671,132.7632,140.5202,145.9783,147.8583,150.8555,149.4837,150.3316,150.7204,159.5866,161.7375
2/14/2019,156.01,154.199,146.41,142.6019,146.3697,146.8676,146.1898,142.6366,133.8907,133.9712,127.5856,129.4881,127.3251,126.6687,143.7114,144.8065,146.8221,152.3618,147.8658,151.0903,153.6364,141.1978,149.4388,160.1269
2/15/2019,150.2975,158.3789,153.3838,149.5618,143.002,153.2961,144.1122,148.3627,144.2646,144.8792,128.9934,130.8086,130.3965,140.5902,137.3053,135.6552,144.0654,142.713,140.0087,137.8025,136.0181,135.059,139.2266,135.9271
2/16/2019,145.1719,137.5291,132.1838,140.7057,137.5651,136.1047,138.4804,138.6939,146.7263,138.7996,134.4471,132.3209,135.5996,134.7712,140.5592,139.0146,139.3024,140.6437,138.5927,130.5549,132.9052,140.8963,138.099,134.51
2/17/2019,130.2584,129.3543,132.535,129.2241,145.2243,138.5478,133.7899,147.1489,134.0151,130.9442,133.978,128.1357,136.1395,137.5528,139.9279,133.7144,132.882,142.9118,142.7203,146.3269,128.146,126.5902,138.9933,144.2706
