Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units
NSRDB,1033612,-,-,-,28.53,-81.38,0,31,-5,w/m2,w/m2
Year,Month,Day,Hour,Minute,DNI,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2019,1,1,0,30,0,1.6,2.3,162,83.97,21.4,1017
2019,1,1,1,30,0,1.5,2.3,169,87.84,20.8,1017
2019,1,1,2,30,0,1.4,2.3,175,91.74,20.2,1017
2019,1,1,3,30,0,1.4,2.3,180,95.6,19.6,1017
2019,1,1,4,30,0,1.5,2.3,184,99.61,19,1017
2019,1,1,5,30,0,1.4,2.3,188,100,18.4,1017
2019,1,1,6,30,0,1.4,2.3,192,100,17.9,1017
2019,1,1,7,30,0,1.2,2.3,197,100,17.5,1017
2019,1,1,8,30,0,1.1,2.3,202,100,17.2,1017
2019,1,1,9,30,0,1,2.2,205,100,17,1017
2019,1,1,10,30,0,1,2.2,204,100,16.9,1017
2019,1,1,11,30,0,0.9,2.2,199,100,17.1,1018
2019,1,1,12,30,135,1.2,2.2,192,96.67,18.8,1018
2019,1,1,13,30,611,1.6,2.2,187,88.63,21.5,1018
2019,1,1,14,30,778,1.9,2.3,187,79.87,24,1019
2019,1,1,15,30,849,2.1,2.4,190,70.99,25.7,1018
2019,1,1,16,30,686,2,2.4,193,65.73,26.6,1017
2019,1,1,17,30,580,1.9,2.5,199,63.15,27.2,1016
2019,1,1,18,30,707,1.6,2.6,207,61.77,27.5,1016
2019,1,1,19,30,762,1.3,2.6,213,61.11,27.5,1016
2019,1,1,20,30,627,0.9,2.6,212,61.88,27.1,1016
2019,1,1,21,30,500,0.5,2.6,166,65.52,26.2,1016
2019,1,1,22,30,105,0.5,2.5,107,71.86,24.5,1017
2019,1,1,23,30,0,0.7,2.4,92,73.76,23.5,1017
2019,1,2,0,30,0,1,2.4,105,86.36,21.1,1018
2019,1,2,1,30,0,1.2,2.3,116,93.94,20.1,1018
2019,1,2,2,30,0,1.3,2.3,126,100,19.5,1018
2019,1,2,3,30,0,1.3,2.3,137,100,18.9,1017
2019,1,2,4,30,0,1.3,2.3,148,100,18.5,1017
2019,1,2,5,30,0,1.2,2.3,157,100,18.1,1017
2019,1,2,6,30,0,1.1,2.3,167,100,17.8,1017
2019,1,2,7,30,0,1,2.3,177,100,17.7,1017
2019,1,2,8,30,0,1,2.3,186,100,17.7,1017
2019,1,2,9,30,0,0.9,2.3,188,100,17.9,1017
2019,1,2,10,30,0,0.9,2.3,179,100,18,1017
2019,1,2,11,30,0,0.9,2.3,165,100,17.9,1018
2019,1,2,12,30,119,1.2,2.2,153,96.77,19.2,1018
2019,1,2,13,30,336,1.5,2.2,143,88.27,21.9,1019
2019,1,2,14,30,12,1.6,2.2,135,76.26,24.3,1019
2019,1,2,15,30,161,1.4,2.3,128,65.62,25.9,1019
2019,1,2,16,30,848,1,2.4,118,60.97,26.7,1018
2019,1,2,17,30,598,0.7,2.5,99,58.97,27.1,1017
2019,1,2,18,30,769,1,2.5,97,57.78,27.3,1016
2019,1,2,19,30,151,1.7,2.4,113,58.38,27.1,1016
2019,1,2,20,30,331,2,2.4,118,61.31,26.3,1015
2019,1,2,21,30,452,1.6,2.4,111,70.99,24.2,1015
2019,1,2,22,30,69,1.4,2.4,103,80.76,22,1016
2019,1,2,23,30,0,1.6,2.4,101,82.73,21.2,1016
2019,1,3,0,30,0,2.3,2.4,109,89.88,20.3,1016
2019,1,3,1,30,0,2.6,2.4,117,94.37,19.8,1016
2019,1,3,2,30,0,2.4,2.4,126,97.5,19.4,1015
2019,1,3,3,30,0,2.1,2.4,136,100,19,1015
2019,1,3,4,30,0,1.8,2.5,147,100,18.7,1014
2019,1,3,5,30,0,1.7,2.5,159,100,18.4,1014
2019,1,3,6,30,0,1.5,2.6,172,100,18.1,1014
2019,1,3,7,30,0,1.3,2.6,184,100,17.8,1015
2019,1,3,8,30,0,1.3,2.6,190,100,17.6,1014
2019,1,3,9,30,0,1.3,2.6,195,100,17.4,1014
2019,1,3,10,30,0,1.2,2.7,199,100,17.3,1015
2019,1,3,11,30,0,1,2.8,203,100,17.5,1016
2019,1,3,12,30,69,1.3,2.8,202,97.53,19.2,1016
2019,1,3,13,30,384,2,2.9,197,88.08,22,1017
2019,1,3,14,30,667,2.7,2.9,198,81.21,24.4,1016
2019,1,3,15,30,322,3.1,2.8,204,75.26,26,1016
2019,1,3,16,30,127,3.2,2.7,207,68.65,27,1014
2019,1,3,17,30,198,3,2.7,209,64.28,27.6,1013
2019,1,3,18,30,235,2.6,2.7,219,61.43,28,1012
2019,1,3,19,30,248,2.2,2.8,233,61.1,27.9,1012
2019,1,3,20,30,375,1.7,2.9,248,62.12,27.3,1012
2019,1,3,21,30,213,1.1,3,268,69.74,25.7,1013
2019,1,3,22,30,53,0.8,3,290,76.93,24.1,1013
2019,1,3,23,30,0,0.8,3.1,299,72.4,23.8,1013
2019,1,4,0,30,0,0.5,3.1,333,72.76,23.5,1013
2019,1,4,1,30,0,0.3,3.1,182,74.56,23,1013
2019,1,4,2,30,0,0.2,3.1,69,76.42,22.5,1013
2019,1,4,3,30,0,0.3,3,145,79.71,21.8,1012
2019,1,4,4,30,0,0.6,3,182,84.87,20.8,1012
2019,1,4,5,30,0,0.8,2.9,198,89.65,19.9,1012
2019,1,4,6,30,0,1,2.8,205,95.26,18.9,1012
2019,1,4,7,30,0,1.1,2.7,207,99.67,18.2,1012
2019,1,4,8,30,0,1.2,2.6,204,100,17.9,1011
2019,1,4,9,30,0,1.4,2.5,199,100,17.6,1011
2019,1,4,10,30,0,1.5,2.4,193,100,17.5,1011
2019,1,4,11,30,0,1.7,2.3,188,100,17.7,1012
2019,1,4,12,30,20,2.5,2.3,185,97.6,19.2,1012
2019,1,4,13,30,299,3.6,2.4,186,88.44,21.8,1013
2019,1,4,14,30,306,4.5,2.5,191,81.21,24.1,1013
2019,1,4,15,30,854,5,2.7,197,72.06,25.9,1012
2019,1,4,16,30,888,5.1,2.9,205,64.57,27.2,1011
2019,1,4,17,30,596,5.3,3.1,209,60.7,28,1009
2019,1,4,18,30,153,5.6,3.3,210,59.15,28.3,1008
2019,1,4,19,30,194,5.9,3.4,213,59.86,28,1008
2019,1,4,20,30,107,5.7,3.7,220,63.7,26.9,1008
2019,1,4,21,30,56,5.2,3.9,227,70.26,25.3,1009
2019,1,4,22,30,3,4.5,4.1,230,78.51,23.6,1010
2019,1,4,23,30,0,4.2,4.2,231,83.83,22.9,1010
2019,1,5,0,30,0,3.3,4.7,223,94.25,21.3,1010
2019,1,5,1,30,0,2.9,5,234,99.02,20.6,1010
2019,1,5,2,30,0,3.2,4.8,256,100,19.8,1010
2019,1,5,3,30,0,3.4,4.1,269,100,18.6,1010
2019,1,5,4,30,0,3.2,3.1,271,100,17,1010
2019,1,5,5,30,0,3,2.4,270,97.84,15.8,1010
2019,1,5,6,30,0,2.9,2,270,95.72,15.1,1010
2019,1,5,7,30,0,2.8,1.8,268,94.24,14.7,1010
2019,1,5,8,30,0,2.7,1.7,268,92.31,14.7,1010
2019,1,5,9,30,0,2.5,1.6,269,91.89,14.7,1010
2019,1,5,10,30,0,2.5,1.6,271,92.6,14.7,1011
2019,1,5,11,30,0,2.8,1.6,277,90.98,15.1,1012
2019,1,5,12,30,6,3.4,1.7,287,87.72,15.8,1013
2019,1,5,13,30,475,4.1,1.6,297,83.46,16.7,1014
2019,1,5,14,30,42,4.7,1.6,298,73.56,17.7,1014
2019,1,5,15,30,161,4.9,1.5,293,65.59,18.6,1014
2019,1,5,16,30,907,4.9,1.4,288,61.52,19.3,1013
2019,1,5,17,30,932,4.8,1.4,285,58.94,19.8,1012
2019,1,5,18,30,926,4.7,1.4,285,57.99,19.9,1012
2019,1,5,19,30,895,4.5,1.4,287,58.36,19.6,1012
2019,1,5,20,30,822,4.2,1.3,291,61.18,18.6,1012
2019,1,5,21,30,662,3.2,1.2,295,67.55,16.7,1013
2019,1,5,22,30,196,2.3,1.1,298,76.44,14.5,1014
2019,1,5,23,30,0,2.1,1.1,300,80.22,13.6,1015
2019,1,6,0,30,0,2,1.1,304,87.83,12.3,1016
2019,1,6,1,30,0,2,1.1,308,93.22,11.5,1016
2019,1,6,2,30,0,2,1.1,315,97.58,10.9,1016
2019,1,6,3,30,0,2,1.1,323,100,10.3,1016
2019,1,6,4,30,0,1.9,1.1,330,100,9.7,1016
2019,1,6,5,30,0,1.7,1.1,336,100,9.1,1016
2019,1,6,6,30,0,1.6,1,340,100,8.6,1016
2019,1,6,7,30,0,1.8,1,341,100,8.4,1016
2019,1,6,8,30,0,2.1,1,342,100,8.2,1017
2019,1,6,9,30,0,2,1,343,100,7.9,1017
2019,1,6,10,30,0,1.6,1,346,100,7.4,1017
2019,1,6,11,30,0,1.4,0.9,347,100,7.3,1018
2019,1,6,12,30,154,1.7,0.9,345,93.98,8.7,1018
2019,1,6,13,30,654,1.9,0.9,344,77.52,11.7,1019
2019,1,6,14,30,832,1.8,0.9,173,64.16,15,1019
2019,1,6,15,30,914,1.7,0.9,5,54.12,17.5,1019
2019,1,6,16,30,953,1.4,0.9,4,50.2,19.1,1018
2019,1,6,17,30,964,1.3,0.9,1,48.16,20.2,1017
2019,1,6,18,30,950,1.3,1,6,46.96,20.9,1016
2019,1,6,19,30,912,1.4,1,18,47.36,21,1016
2019,1,6,20,30,832,1.4,1.1,28,50.92,20.3,1016
2019,1,6,21,30,664,1.2,1.1,33,63.3,18,1017
2019,1,6,22,30,199,1.1,1.1,39,76.83,15.4,1017
2019,1,6,23,30,0,1.1,1.2,44,79.91,14.6,1018
2019,1,7,0,30,0,1.1,1.2,53,90.01,13.5,1018
2019,1,7,1,30,0,1.2,1.2,53,97.25,12.9,1019
