Year,Month,Day,DNI Mean,DNI Max,DNI Min,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Power Consumption,Weekday,University Name,Building Name,Square Feet,Type
2019,1,1,722.4,952,45,2.12,0.555,47.75,43.414,8.555,1004.55,7888,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,2,714.1,925,67,1.465,1,66.05,57.2775,9.15,1004.4,8323,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,3,480.1,899,14,2.04,0.975,75.85,64.8745,8.68,1001.75,8468,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,4,579.95,912,30,1.675,0.985,111.3,73.464,9.97,994.65,8177,1,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,5,25.38888889,93,1,6.194444444,1.955555556,182.5,90.36555556,11.5,985,8188,1,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,6,6.333333333,9,1,5.033333333,2.066666667,183,95.49333333,10.03333333,989.6666667,8800,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,7,123.1,294,6,1.645,1.935,142.15,79.384,12.53,999.45,8818,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,8,9,17,1,2.8,2.45,151,96.725,12.6,995.5,8953,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,9,118.05,332,9,2.7,1.7,194.35,91.753,12.96,998.55,8993,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,10,391.05,786,28,1.29,1.34,126.05,84.0095,12.46,999.9,8940,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,11,41.85714286,174,2,2.885714286,2.328571429,106,84.86,12.42142857,991.8571429,8226,1,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,12,435.2222222,864,2,2.25,1.794444444,114.6666667,79.98277778,12.82777778,995.6111111,8284,1,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,13,316,539,43,2.475,1.39,96.15,77.037,12.45,995.95,9004,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,14,48.75,180,1,3.64375,1.75,112.5,76.984375,11.3125,991.9375,9029,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,15,37.27272727,116,1,3.8,2.036363636,123,90.76454545,10.87272727,989.2727273,9148,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,16,6,14,1,5.66,2.32,153.6,92.824,12.66,991,9068,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,17,88.53333333,201,2,4.16,1.58,231.8,85.04933333,13.14666667,996.4,8999,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,18,171.5625,355,6,1.66875,1.94375,157.25,78.833125,13.61875,1005.875,8199,1,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,19,193.7,581,14,0.835,1.805,183.8,80.2575,15.22,1006,8202,1,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,20,27.46666667,111,2,4.24,1.946666667,251.0666667,91.42266667,12.76,997,8480,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,21,751.6,934,143,2.415,1.055,325.9,74.21,11.53,1003.45,9202,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,22,653.8,936,89,2.2,1.18,249.3,59.9995,11.445,1009.55,9248,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,23,744.1,933,164,1.24,1.22,119.3,69.579,11.75,1009.4,9324,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,24,746.4761905,956,30,1.5,0.857142857,180.4761905,73.95714286,12.47142857,1004.285714,9202,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,25,715.2857143,957,27,1.957142857,0.60952381,43.47619048,71.9847619,12.27619048,1003.666667,8266,1,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,26,290.8095238,486,22,2.295238095,0.833333333,46.38095238,75.29380952,11.85714286,1004.809524,8231,1,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,27,449.952381,909,22,1.661904762,1.152380952,95.33333333,77.22761905,14.22857143,1000.904762,9233,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,28,120,444,8,1.166666667,1.323809524,130.0952381,75.73666667,14.12380952,996.9047619,9479.975,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,29,352,636,4,1.036842105,2.031578947,256.4210526,84.65684211,13.39473684,995.2631579,9417.025,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,30,585.047619,896,12,0.795238095,2.014285714,179.6190476,77.9947619,13.8952381,992.5714286,9377,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,1,31,349.6875,761,1,1.0375,1.9625,184.4375,91.265625,12.975,991.9375,9230,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,2,1,71,221,1,3.493333333,2.266666667,154.4,90.78,12.22,989.6,8224,1,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,2,2,152.9411765,444,3,5.441176471,1.523529412,174.4117647,79.53352941,12.69411765,979.0588235,8214,1,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,2,3,69.47058824,343,1,4.682352941,1.517647059,241.1764706,86.69294118,10.82352941,985.7058824,9373,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,2,4,177.4210526,558,1,4.926315789,1.105263158,262.4210526,83.00947368,7.673684211,983.8947368,9543,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,2,5,665.2857143,974,31,2.533333333,0.661904762,319.8095238,66.34857143,7.004761905,992.8095238,9462,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,2,6,582.3333333,945,22,1.9,0.995238095,315.3333333,70.10666667,9.585714286,1001.714286,9309,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
2019,2,7,341.1428571,792,21,1.919047619,0.876190476,102.0952381,64.83190476,8.304761905,1004.714286,9174,0,"University of California, Berkeley",Etcheverry Hall,179722,Laboratory
