Date,Power
10/1/2020,6102
10/2/2020,6052
10/3/2020,5953
10/4/2020,5990
10/5/2020,6040
10/6/2020,6162
10/7/2020,6221
10/8/2020,6315
10/9/2020,6274
10/10/2020,6249
10/11/2020,6164
10/12/2020,6270
10/13/2020,6264
10/14/2020,6259
10/15/2020,6232
10/16/2020,6243
10/17/2020,6136
10/18/2020,6175
10/19/2020,6323
10/20/2020,6327
10/21/2020,6406
10/22/2020,6504
10/23/2020,6431
10/24/2020,6148
10/25/2020,6076
10/26/2020,5926
10/27/2020,5069
10/28/2020,5648
10/29/2020,6164
10/30/2020,6325
10/31/2020,6243
11/1/2020,6518
11/2/2020,6399
11/3/2020,6259
11/4/2020,6234
11/5/2020,6221
11/6/2020,6253
11/7/2020,6187
11/8/2020,6211
11/9/2020,6287
11/10/2020,6333
11/11/2020,6249
11/12/2020,6272
11/13/2020,6177
11/14/2020,6027
11/15/2020,6046
11/16/2020,6284
11/17/2020,6383
11/18/2020,6438
11/19/2020,6361
11/20/2020,5817
