Key,University Name,Building Name,Square Feet,Type
85,University of Central Florida,Harris Corporation Engineering Center,113866,College Building
154,University of Central Florida,Research I,105775,Laboratory
101,University of Central Florida,Physical Sciences Building,128887,Laboratory
123,University of Central Florida,Biological Sciences Building,116607,Laboratory
112,University of Central Florida,CREOL Building,111891,Laboratory
67,University of Central Florida,Mathematical Sciences Building,106523,College Building
83,University of Central Florida,Engineering I,130885,College Building
117,University of Central Florida,Engineering II,105545,Laboratory
43,University of Central Florida,College of Sciences Building,54644,College Building
147,University of Central Florida,Siemens Energy Center,10932,Laboratory
