power,date
4631.294837172914,2019-01-01
8303.404349164948,2019-01-02
7783.903960925773,2019-01-03
7703.588435894716,2019-01-04
8002.946287004091,2019-01-05
8829.305922329142,2019-01-06
8295.302808239856,2019-01-07
8097.764602747747,2019-01-08
8583.258389883842,2019-01-09
9591.553221305934,2019-01-10
9460.227844220919,2019-01-11
8158.376327575364,2019-01-12
8099.564946023465,2019-01-13
8529.848103021586,2019-01-14
9475.330772251418,2019-01-15
9990.93042817287,2019-01-16
9535.642409342916,2019-01-17
9063.251152286446,2019-01-18
8051.855742385347,2019-01-19
9227.182801163295,2019-01-20
6923.837808418265,2019-01-21
10197.670320779065,2019-01-22
8361.01545989654,2019-01-23
8360.315381088318,2019-01-24
9677.970003773928,2019-01-25
10057.043124317961,2019-01-26
10600.34812264612,2019-01-27
11042.133498230643,2019-01-28
10000.632303483844,2019-01-29
10583.04484119063,2019-01-30
10516.03190854534,2019-01-31
8988.936821108304,2019-02-01
8741.288969539086,2019-02-02
8842.208439703147,2019-02-03
8640.769501893607,2019-02-04
8508.143923944146,2019-02-05
8169.07835416871,2019-02-06
7970.440044457433,2019-02-07
7878.522252517334,2019-02-08
8103.065630037584,2019-02-09
8544.450922979362,2019-02-10
7693.7865656776985,2019-02-11
7409.931725241274,2019-02-12
9173.972523191169,2019-02-13
8911.921955939852,2019-02-14
8014.048430579026,2019-02-15
7491.647488012645,2019-02-16
7404.530687783428,2019-02-17
7244.299708917872,2019-02-18
7298.310148359702,2019-02-19
7389.827827133704,2019-02-20
7420.233703531013,2019-02-21
7195.090226847495,2019-02-22
7044.56109276927,2019-02-23
6937.7404732594405,2019-02-24
7884.62345653855,2019-02-25
8002.746274298763,2019-02-26
7784.304070276377,2019-02-27
7868.320280580406,2019-02-28
7851.617037241484,2019-03-01
7519.55290035648,2019-03-02
7202.791696576613,2019-03-03
7475.944483711243,2019-03-04
8756.391889938895,2019-03-05
9793.392234127235,2019-03-06
9324.201565717784,2019-03-07
8503.843055567957,2019-03-08
7700.187811649712,2019-03-09
6444.645196039179,2019-03-10
7197.590713793921,2019-03-11
7827.212324173736,2019-03-12
7911.428600599395,2019-03-13
7932.9327669712175,2019-03-14
7708.589394525602,2019-03-15
7851.817099547624,2019-03-16
8102.565537226832,2019-03-17
8786.897753611845,2019-03-18
9205.678680576795,2019-03-19
9111.360446197708,2019-03-20
8489.540311899822,2019-03-21
8283.80053623715,2019-03-22
8265.897033524398,2019-03-23
7711.089942519027,2019-03-24
7758.09901011742,2019-03-25
7750.097441206,2019-03-26
8700.181024578602,2019-03-27
8160.876799259823,2019-03-28
7976.741207767964,2019-03-29
7670.582089091122,2019-03-30
7565.861847176824,2019-03-31
7863.1192596433775,2019-04-01
