,UMASS Amherst - Computer Science null,UMASS Amherst - Fine Arts Center null,UMASS Amherst - Recreation Center null,Day,Month,Year,Date,DHI,DNI Max,DNI Min,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
1,22.91705463182898,31.782146226415094,22.32872727272727,1.0,2.0,2017.0,2017-02-01,109.625,649,150,330.625,210.25,68.25,716.875,297.125,0.1125,1.161,101.95,83.9825,0.5,1010.0
2,36.266912114014254,41.019457547169814,36.92536363636364,1.0,3.0,2017.0,2017-03-01,125.5,384,31,194.75,175.25,74.75,627.0,285.0,0.22500000000000006,1.46225,248.15,100.0,2.5,980.0
3,42.35472684085511,35.01462264150943,41.98319696969697,1.0,4.0,2017.0,2017-04-01,74.5,769,493,652.75,279.625,74.625,736.625,313.375,0.3125000000000001,0.483875,264.0375,58.5325,-2.5,990.0
4,43.6144893111639,19.31254716981132,42.69831818181818,1.0,5.0,2017.0,2017-05-01,77.25,845,521,664.125,287.5,73.25,747.75,317.5,0.25,0.429875,309.15,61.96375000000001,-2.875,1000.0
7,53.441567695962,16.897900943396227,53.35712121212121,1.0,8.0,2017.0,2017-08-01,90.375,691,283,511.625,261.375,82.625,733.875,325.375,0.2125,0.30537499999999995,246.6125,63.1275,-8.875,1020.0
8,44.829216152019,44.1177358490566,45.27530303030303,1.0,9.0,2017.0,2017-09-01,120.125,474,107,312.0,225.875,91.375,651.875,311.625,0.325,0.8947499999999999,171.2875,77.67375000000001,-3.375,1011.25
9,33.7916864608076,38.247051886792455,34.50848484848485,1.0,10.0,2017.0,2017-10-01,76.22222222222223,914,51,456.22222222222223,233.33333333333331,51.0,711.3333333333335,286.3333333333333,0.3111111111111112,0.5226666666666666,223.65555555555557,92.94888888888892,5.111111111111111,1000.0
10,22.873396674584324,28.68254716981132,23.654242424242423,1.0,11.0,2017.0,2017-11-01,129.25,95,13,63.25,149.25,75.5,623.5,287.5,0.4,2.6870000000000003,211.6,100.0,9.25,997.5
11,7.448456057007126,23.109905660377358,7.22969696969697,1.0,12.0,2017.0,2017-12-01,59.625,906,598,789.75,328.0,59.625,789.75,328.0,0.6499999999999999,0.47275,305.00000000000006,61.71874999999999,1.0,1010.0
12,16.078859857482186,32.87617924528302,16.796818181818182,1.0,1.0,2018.0,2018-01-01,108.375,618,251,430.375,249.375,59.625,788.75,328.5,0.225,0.527125,245.625,38.84,-1.375,1012.5
13,16.67268408551069,27.33419811320755,17.131212121212123,1.0,2.0,2018.0,2018-02-01,49.0,913,192,691.4,273.4,49.0,691.4,273.4,0.33,0.4071,314.37,60.47000000000001,-0.8,1006.0
14,36.4790973871734,37.865330188679245,36.128484848484845,1.0,3.0,2018.0,2018-03-01,56.33333333333334,883,214,714.6666666666665,296.8888888888889,56.33333333333334,714.6666666666665,296.8888888888889,0.3111111111111111,0.5726666666666667,249.9333333333333,64.57,-0.5555555555555556,1007.7777777777777
15,42.888361045130644,38.12240566037736,42.54742424242424,1.0,4.0,2018.0,2018-04-01,161.25,298,1,148.5,228.25,73.0,830.5,426.75,0.3,1.11375,85.45,68.35,3.5,1000.0
16,54.090023752969124,45.14599056603774,54.02742424242424,1.0,5.0,2018.0,2018-05-01,69.0,384,384,384.0,142.0,69.0,384.0,142.0,0.2,1.422,45.3,100.0,0.0,1000.0
17,56.51615201900238,45.408490566037734,55.78818181818181,1.0,6.0,2018.0,2018-06-01,63.83333333333334,850,113,641.0,301.5,63.83333333333334,641.0,301.5,0.3333333333333333,0.805,296.26666666666665,92.59499999999998,2.333333333333333,998.3333333333335
18,63.55985748218527,52.346462264150944,63.184999999999995,1.0,7.0,2018.0,2018-07-01,89.5,795,63,437.1,237.4,79.3,515.9,261.0,0.2500000000000001,1.5097999999999998,266.74,98.51,4.4,990.0
19,48.358669833729216,39.8311320754717,48.348939393939396,1.0,8.0,2018.0,2018-08-01,177.5,64,24,44.0,197.0,100.5,726.0,421.0,0.35,1.93,72.2,99.68,5.5,990.0
