Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2019,1,1,0,30,0,0,0,0,0,0,0.2,3.1,151,92.89,1.5,994
2019,1,1,1,30,0,0,0,0,0,0,0.2,3.1,158,93.68,1.6,992
2019,1,1,2,30,0,0,0,0,0,0,0.1,2.8,179,93.98,1.8,989
2019,1,1,3,30,0,0,0,0,0,0,0.2,2.3,213,93.38,2.2,987
2019,1,1,4,30,0,0,0,0,0,0,0.3,1.9,233,92.5,3,986
2019,1,1,5,30,0,0,0,0,0,0,0.3,1.8,240,93.57,3.9,986
2019,1,1,6,30,0,0,0,0,0,0,0.3,1.8,245,94.58,4.7,986
2019,1,1,7,30,5,21,5,12,120,15,0.3,1.6,253,95.23,5.4,987
2019,1,1,8,30,29,0,29,45,548,137,0.3,1.4,266,95.31,6.1,988
2019,1,1,9,30,76,7,78,58,736,271,0.4,1.2,281,96.28,6.1,990
2019,1,1,10,30,74,3,75,63,830,373,0.5,1,292,91.4,5.6,991
2019,1,1,11,30,140,47,159,66,859,422,0.4,1,300,84.85,5.2,992
2019,1,1,12,30,151,178,224,65,863,418,0.4,0.9,306,81.35,4.8,994
2019,1,1,13,30,108,36,121,60,827,357,0.4,0.9,308,79.3,4.1,995
2019,1,1,14,30,86,53,100,55,730,249,0.4,0.9,307,80.74,3.2,997
2019,1,1,15,30,35,110,50,39,522,111,0.3,0.9,305,85.49,1.9,999
2019,1,1,16,30,2,14,2,4,27,3,0.3,0.9,305,87.22,0.9,1000
2019,1,1,17,30,0,0,0,0,0,0,0.3,0.8,306,86.71,0.3,1002
2019,1,1,18,30,0,0,0,0,0,0,0.3,0.8,307,84.41,0,1003
2019,1,1,19,30,0,0,0,0,0,0,0.3,0.6,313,86.36,-1,1004
2019,1,1,20,30,0,0,0,0,0,0,0.2,0.5,314,86.77,-1.9,1004
2019,1,1,21,30,0,0,0,0,0,0,0.3,0.4,316,86.93,-2.7,1005
2019,1,1,22,30,0,0,0,0,0,0,0.3,0.4,318,86.17,-3.4,1005
2019,1,1,23,30,0,0,0,0,0,0,0.3,0.4,322,83.64,-3.9,1006
2019,1,2,0,30,0,0,0,0,0,0,0.3,0.4,325,82.11,-4.4,1007
2019,1,2,1,30,0,0,0,0,0,0,0.3,0.4,326,79.47,-4.6,1008
2019,1,2,2,30,0,0,0,0,0,0,0.3,0.4,328,75.5,-4.6,1008
2019,1,2,3,30,0,0,0,0,0,0,0.3,0.4,331,72.65,-4.7,1009
2019,1,2,4,30,0,0,0,0,0,0,0.3,0.4,334,69.3,-4.8,1009
2019,1,2,5,30,0,0,0,0,0,0,0.2,0.4,336,66.52,-4.8,1010
2019,1,2,6,30,0,0,0,0,0,0,0.2,0.4,338,67,-5.1,1012
2019,1,2,7,30,11,140,14,13,212,18,0.2,0.3,342,68.1,-5,1013
2019,1,2,8,30,42,576,139,35,699,152,0.2,0.3,347,59.08,-3.8,1013
2019,1,2,9,30,56,751,273,45,850,291,0.2,0.3,350,49.69,-2.2,1013
2019,1,2,10,30,92,620,324,50,916,393,0.1,0.3,347,41.97,-0.8,1012
2019,1,2,11,30,103,629,364,53,939,443,0.1,0.3,329,36.67,0.3,1011
2019,1,2,12,30,131,479,328,54,925,434,0.1,0.4,295,33.49,0.9,1011
2019,1,2,13,30,126,380,263,52,886,371,0.1,0.4,260,34.58,0.8,1011
2019,1,2,14,30,100,250,167,47,796,260,0.1,0.5,212,39.4,0,1011
2019,1,2,15,30,51,118,68,33,603,118,0.3,0.6,172,62.9,-1.7,1010
2019,1,2,16,30,1,17,1,4,40,3,0.4,0.6,161,75.55,-3.5,1009
2019,1,2,17,30,0,0,0,0,0,0,0.2,0.7,164,81.23,-4.3,1009
2019,1,2,18,30,0,0,0,0,0,0,0.2,0.8,168,81.89,-4.4,1009
