Year,Month,Day,Hour,Minute,DNI,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2019,1,1,0,30,0,4.2,1,279,99.37,-0.8,991
2019,1,1,1,30,0,3.7,0.9,285,98.79,-1,992
2019,1,1,2,30,0,2.9,0.9,297,99.31,-1.2,993
2019,1,1,3,30,0,2.2,0.8,314,100,-1.5,993
2019,1,1,4,30,0,1.7,0.8,331,100,-1.7,994
2019,1,1,5,30,0,1.7,0.9,172,98.98,-1.7,995
2019,1,1,6,30,0,2.1,0.9,10,95.25,-1.5,996
2019,1,1,7,30,11,3,0.9,19,88.86,-0.9,997
2019,1,1,8,30,0,3.5,0.9,25,81.2,0.2,998
2019,1,1,9,30,0,3.2,1,28,74.29,1.4,998
2019,1,1,10,30,0,2.6,1,21,71.65,2.6,998
2019,1,1,11,30,0,2.1,1,182,71.47,3.2,998
2019,1,1,12,30,0,2.1,1,348,71.22,3.5,998
2019,1,1,13,30,0,2.4,0.9,346,71.94,3.4,998
2019,1,1,14,30,0,2.3,0.9,347,74.13,2.9,998
2019,1,1,15,30,0,1.6,0.9,345,83.64,1.5,998
2019,1,1,16,30,0,1.4,0.9,347,93.56,0,999
2019,1,1,17,30,0,1.6,0.9,350,91.2,-0.4,999
2019,1,1,18,30,0,1.9,0.8,181,93.55,-1.3,999
2019,1,1,19,30,0,1.7,0.8,8,94.74,-2,999
2019,1,1,20,30,0,1.4,0.8,15,95.93,-2.6,999
2019,1,1,21,30,0,1.1,0.8,22,96.03,-3,999
2019,1,1,22,30,0,0.8,0.8,26,96.01,-3.2,998
2019,1,1,23,30,0,0.7,0.8,32,94.21,-3,998
2019,1,2,0,30,0,0.6,0.8,42,91.96,-2.7,998
2019,1,2,1,30,0,0.3,0.8,194,89.2,-2.4,998
2019,1,2,2,30,0,0.3,0.8,304,88.6,-2.3,998
2019,1,2,3,30,0,0.5,0.8,262,89.55,-2.3,997
2019,1,2,4,30,0,0.7,0.9,255,91.16,-2.2,997
2019,1,2,5,30,0,0.8,0.9,252,91.82,-2.1,997
2019,1,2,6,30,0,1.1,0.9,250,90.58,-1.8,997
2019,1,2,7,30,19,1.9,0.9,247,86.37,-1,997
2019,1,2,8,30,62,3.2,0.9,244,79.98,-0.1,997
2019,1,2,9,30,160,4.1,0.9,242,73.99,0.3,997
2019,1,2,10,30,2,4.6,0.9,243,71.15,0.3,995
2019,1,2,11,30,27,5,1,244,70.35,0.2,994
2019,1,2,12,30,0,5.2,1,245,70.82,0,993
2019,1,2,13,30,0,5,0.9,245,72.76,-0.3,992
2019,1,2,14,30,0,4.4,0.8,245,75.72,-0.6,992
2019,1,2,15,30,0,3.7,0.7,245,80.56,-1,992
2019,1,2,16,30,3,3.1,0.6,248,85.86,-1.4,992
2019,1,2,17,30,0,3,0.6,251,88.33,-1.5,992
2019,1,2,18,30,0,3.2,0.6,264,90.42,-1.8,992
2019,1,2,19,30,0,3.1,0.6,269,90.63,-2.2,993
2019,1,2,20,30,0,2.7,0.6,266,89.47,-2.6,993
2019,1,2,21,30,0,2.3,0.6,260,89.64,-2.9,993
2019,1,2,22,30,0,2.1,0.6,258,90.01,-3.1,993
2019,1,2,23,30,0,2.2,0.6,256,89.15,-3.1,993
2019,1,3,0,30,0,2.3,0.5,253,88.99,-3.2,993
2019,1,3,1,30,0,2.2,0.5,250,89.79,-3.4,993
2019,1,3,2,30,0,2,0.5,249,90.94,-3.7,993
2019,1,3,3,30,0,1.7,0.5,250,93.4,-4.3,993
2019,1,3,4,30,0,1.5,0.4,249,94.4,-4.7,993
2019,1,3,5,30,0,1.5,0.4,246,93.73,-4.7,993
2019,1,3,6,30,0,1.8,0.5,240,92.1,-4.5,993
2019,1,3,7,30,258,2.6,0.5,231,84.9,-3.3,993
2019,1,3,8,30,701,3.3,0.5,224,73.97,-1.3,993
2019,1,3,9,30,849,3.7,0.5,220,63.39,0.6,993
2019,1,3,10,30,917,3.8,0.5,222,59.01,2.1,992
2019,1,3,11,30,940,3.6,0.5,226,56.98,3.3,991
2019,1,3,12,30,933,3.5,0.5,225,55.28,4.1,990
2019,1,3,13,30,903,3.6,0.5,219,56.56,4.3,990
2019,1,3,14,30,823,3.1,0.6,215,62.9,3.4,990
2019,1,3,15,30,657,2.3,0.7,214,81.28,0.9,991
2019,1,3,16,30,177,2.2,0.8,215,86.05,-1,991
2019,1,3,17,30,0,2.2,0.8,215,85.29,-1.3,991
2019,1,3,18,30,0,1.9,0.9,218,87,-1.7,990
2019,1,3,19,30,0,2.1,0.9,219,85.21,-1.6,990
2019,1,3,20,30,0,2.6,1,219,83.28,-1.1,990
2019,1,3,21,30,0,2.5,1,225,85.23,-1.1,989
2019,1,3,22,30,0,1.8,0.9,231,87.91,-1.6,988
2019,1,3,23,30,0,1.5,0.9,228,87.94,-1.8,988
2019,1,4,0,30,0,1.7,0.8,218,88.9,-1.9,988
2019,1,4,1,30,0,1.4,0.7,216,86.99,-1.8,987
2019,1,4,2,30,0,0.9,0.7,219,80.56,-1.4,986
2019,1,4,3,30,0,1,0.7,204,82.1,-1.8,986
2019,1,4,4,30,0,1.3,0.7,186,87.54,-2.5,986
2019,1,4,5,30,0,1.2,0.7,177,86.59,-2.3,986
2019,1,4,6,30,0,0.8,0.7,160,78.9,-1.4,985
2019,1,4,7,30,158,0.7,0.7,124,69.86,0.2,985
2019,1,4,8,30,487,1.2,0.6,94,68.22,1.9,984
2019,1,4,9,30,839,1.3,0.6,76,61.93,3.7,984
2019,1,4,10,30,610,1.4,0.7,50,59.59,5.9,983
2019,1,4,11,30,211,1.5,0.7,23,54.55,8,981
2019,1,4,12,30,532,1.2,0.8,176,51.74,8.5,980
2019,1,4,13,30,91,1,0.8,336,61.44,7.5,980
2019,1,4,14,30,6,1.2,0.8,324,71.98,5.6,980
2019,1,4,15,30,5,1.4,0.9,315,76.2,3.5,980
2019,1,4,16,30,27,1.7,0.9,310,80.34,2.1,980
2019,1,4,17,30,0,1.9,0.9,307,84.85,1.8,980
2019,1,4,18,30,0,2.2,1,303,93.81,0.8,981
2019,1,4,19,30,0,2.1,1.1,302,99.75,0,981
2019,1,4,20,30,0,2.4,1.2,302,100,-0.3,981
2019,1,4,21,30,0,2.8,1.2,305,100,-0.3,981
2019,1,4,22,30,0,3.3,1.1,307,100,-0.3,981
2019,1,4,23,30,0,3.6,1.1,308,100,-0.4,981
2019,1,5,0,30,0,3.7,1,306,100,-0.3,982
2019,1,5,1,30,0,3.8,1,302,100,-0.2,982
2019,1,5,2,30,0,3.9,1,299,100,-0.1,983
2019,1,5,3,30,0,3.7,1,296,100,-0.1,983
2019,1,5,4,30,0,3.4,1.1,293,100,-0.2,984
2019,1,5,5,30,0,3.1,1.1,289,100,-0.2,985
2019,1,5,6,30,0,3,1.1,281,99.03,-0.2,985
2019,1,5,7,30,69,3,1.1,271,94.9,0.3,986
2019,1,5,8,30,480,3.2,1.1,263,89,1.8,987
2019,1,5,9,30,817,3.3,1.1,257,81.77,4.2,987
2019,1,5,10,30,887,3.8,1.1,258,74.28,6.9,987
2019,1,5,11,30,909,4.1,1.1,261,67.79,9.1,987
2019,1,5,12,30,901,4.1,1.1,259,66.6,10.4,986
2019,1,5,13,30,871,3.8,1.1,258,68.32,11,987
2019,1,5,14,30,799,2.8,1.1,255,77.84,9.9,987
2019,1,5,15,30,638,2.1,1.1,251,97.64,6.9,988
2019,1,5,16,30,169,2.2,1.1,251,100,4.6,988
2019,1,5,17,30,0,2.4,1.1,251,100,4.2,989
2019,1,5,18,30,0,2.9,1.1,261,100,3.9,990
2019,1,5,19,30,0,3,1.1,268,100,3.5,991
2019,1,5,20,30,0,2.8,1.1,275,100,2.8,991
2019,1,5,21,30,0,2.4,1.1,284,100,2.1,991
2019,1,5,22,30,0,2.2,1,296,100,1.6,991
2019,1,5,23,30,0,2.3,1,311,100,1.7,991
2019,1,6,0,30,0,2.6,1,328,100,1.9,992
2019,1,6,1,30,0,2.7,0.9,170,99.69,1.7,992
2019,1,6,2,30,0,2.8,0.9,14,99.21,1.5,993
2019,1,6,3,30,0,2.9,0.9,32,98.92,1.4,993
2019,1,6,4,30,0,3.1,1,45,99.36,1.2,994
2019,1,6,5,30,0,3.1,1.1,55,98.35,1.2,994
2019,1,6,6,30,0,3.2,1.1,62,98.53,1.2,995
2019,1,6,7,30,34,3.6,1.2,70,95.33,1.7,995
2019,1,6,8,30,234,4.2,1.2,78,91.62,2.9,996
2019,1,6,9,30,312,4.6,1.2,86,86.02,4.6,996
2019,1,6,10,30,545,4.8,1.3,93,79.6,6.2,995
2019,1,6,11,30,315,4.7,1.3,98,75.05,7.4,994
2019,1,6,12,30,289,4.5,1.4,99,73.54,8.1,994
2019,1,6,13,30,102,4.1,1.5,97,74.25,8.2,993
2019,1,6,14,30,21,3.4,1.6,94,80.08,7.5,993
2019,1,6,15,30,3,3.3,1.7,93,86.66,6.6,993
2019,1,6,16,30,13,4.1,1.8,97,88.83,6,993
2019,1,6,17,30,0,4.6,1.8,99,88.96,5.9,993
2019,1,6,18,30,0,5,2.1,111,92.94,5.3,992
2019,1,6,19,30,0,4.9,2.1,119,94.28,5.2,992
2019,1,6,20,30,0,5.1,2.2,125,93.83,5.5,991
2019,1,6,21,30,0,5.4,2.1,132,93.34,6,991
2019,1,6,22,30,0,5.3,1.9,137,96.08,6.1,990
2019,1,6,23,30,0,5.4,1.8,138,99.26,5.8,989
2019,1,7,0,30,0,5.7,1.8,140,100,5.6,989
2019,1,7,1,30,0,5.8,1.9,144,99.82,5.6,988
2019,1,7,2,30,0,5.7,1.8,148,99.61,5.6,987
2019,1,7,3,30,0,5.8,1.7,149,99.32,5.6,986
2019,1,7,4,30,0,5.9,1.7,151,99.16,5.6,985
2019,1,7,5,30,0,6,2.1,154,99.37,5.5,984
2019,1,7,6,30,0,6.2,2.5,157,98.44,5.6,984
2019,1,7,7,30,9,6.8,2.7,163,94.22,6.3,983
2019,1,7,8,30,0,7.5,3,177,88.14,7.9,982
2019,1,7,9,30,0,8.1,3.2,190,84.07,9.9,981
2019,1,7,10,30,0,8.4,3.1,198,86.09,11.2,980
2019,1,7,11,30,0,8.4,2.7,202,87.46,11.9,979
2019,1,7,12,30,0,8.3,2.2,208,87.01,12.7,978
2019,1,7,13,30,0,8.3,2,216,88.22,13.3,978
2019,1,7,14,30,4,8.2,1.9,229,88.35,13.9,978
